DEBUG: Receiving request... | Timestamp: [2025-02-23 18:01:07,489]
ERROR: HTTP server error: 400: Empty image URL in the request. | Timestamp: [2025-02-23 18:01:07,489]
DEBUG: Receiving request... | Timestamp: [2025-02-23 18:05:13,581]
ERROR: HTTP server error: 400: Empty image URL in the request. | Timestamp: [2025-02-23 18:05:13,582]
DEBUG: Receiving request... | Timestamp: [2025-02-23 18:33:21,594]
INFO: Request validated successfully: image_url=https://media.istockphoto.com/id/990278494/photo/empty-concrete-wall.jpg?s=612x612&w=0&k=20&c=c-7LS8ofsxjNnMBf-Re21LyE4GOLCcRkRggdHRpLNmg=, prompt=i want to polish my wall and I want to paint an art of a very happy cat catching a fish on a beach., tags=['mosaic', 'neon'], box=[0.2, 0.2, 0.7, 0.7], n=2 | Timestamp: [2025-02-23 18:33:21,594]
DEBUG: Processing input data... | Timestamp: [2025-02-23 18:33:21,594]
INFO: Wall image fetched successfully. | Timestamp: [2025-02-23 18:33:21,969]
INFO: Defined box coordinates successfully. | Timestamp: [2025-02-23 18:33:21,969]
INFO: Image generation parameters set: model=dall-e-3, prompt=The next provided prompt is a order written by a client who wants to paint art on their wall, only consider the art which must be painted and not the details about wall or anything else. Fill the entire artwork and do not create blank areas. Also use the following styles: mosaic, neon. The order text is: i want to polish my wall and I want to paint an art of a very happy cat catching a fish on a beach., size=1792x1024, quality=standard, n=2 | Timestamp: [2025-02-23 18:33:21,969]
DEBUG: Segmenting the wall image... | Timestamp: [2025-02-23 18:33:21,969]
INFO: Segmentation completed successfully. | Timestamp: [2025-02-23 18:33:28,019]
INFO: Masked objects cropped successfully. | Timestamp: [2025-02-23 18:33:28,024]
DEBUG: Requesting OpenAI to generate art images... | Timestamp: [2025-02-23 18:33:28,024]
INFO: Wall segmentation and art generation completed. | Timestamp: [2025-02-23 18:33:55,680]
DEBUG: Placing generated art on the wall... | Timestamp: [2025-02-23 18:33:55,680]
INFO: Cropped objects returned successfully. | Timestamp: [2025-02-23 18:33:55,721]
INFO: Cropped objects returned successfully. | Timestamp: [2025-02-23 18:33:55,778]
INFO: Art placement on the wall completed. | Timestamp: [2025-02-23 18:33:55,778]
DEBUG: Receiving request... | Timestamp: [2025-02-23 18:43:23,306]
INFO: Request validated successfully: image_url=https://media.istockphoto.com/id/990278494/photo/empty-concrete-wall.jpg?s=612x612&w=0&k=20&c=c-7LS8ofsxjNnMBf-Re21LyE4GOLCcRkRggdHRpLNmg=, prompt=i want to polish my wall and I want to paint an art of a very happy cat catching a fish on a beach., tags=['mosaic', 'neon'], box=[0.2, 0.2, 0.7, 0.7], n=2 | Timestamp: [2025-02-23 18:43:23,306]
DEBUG: Processing input data... | Timestamp: [2025-02-23 18:43:23,306]
INFO: Wall image fetched successfully. | Timestamp: [2025-02-23 18:43:23,477]
INFO: Defined box coordinates successfully. | Timestamp: [2025-02-23 18:43:23,477]
INFO: Image generation parameters set: model=dall-e-3, prompt=The next provided prompt is a order written by a client who wants to paint art on their wall, only consider the art which must be painted and not the details about wall or anything else. Fill the entire artwork and do not create blank areas. Also use the following styles: mosaic, neon. The order text is: i want to polish my wall and I want to paint an art of a very happy cat catching a fish on a beach., size=1792x1024, quality=standard, n=2 | Timestamp: [2025-02-23 18:43:23,477]
DEBUG: Segmenting the wall image... | Timestamp: [2025-02-23 18:43:23,477]
INFO: Segmentation completed successfully. | Timestamp: [2025-02-23 18:43:25,589]
INFO: Masked objects cropped successfully. | Timestamp: [2025-02-23 18:43:25,594]
DEBUG: Requesting OpenAI to generate art images... | Timestamp: [2025-02-23 18:43:25,594]
INFO: Wall segmentation and art generation completed. | Timestamp: [2025-02-23 18:43:53,645]
DEBUG: Placing generated art on the wall... | Timestamp: [2025-02-23 18:43:53,645]
INFO: Cropped objects returned successfully. | Timestamp: [2025-02-23 18:43:53,687]
INFO: Cropped objects returned successfully. | Timestamp: [2025-02-23 18:43:53,733]
INFO: Art placement on the wall completed. | Timestamp: [2025-02-23 18:43:53,733]
DEBUG: Receiving request... | Timestamp: [2025-02-23 18:47:03,259]
